# v41.0 前 20% 强边清单（176032 条，权重 64.0 ~ 2.1000）
# 格式: 权重 | 源词(源神经元) -> 目标词(目标神经元)

64.0 | #149395(149395) -> 名字(16747)
64.0 | #149395(149395) -> 名字(16746)
64.0 | #149395(149395) -> 名字(16745)
64.0 | #149395(149395) -> 名字(16744)
64.0 | #149394(149394) -> 名字(16747)
64.0 | #149394(149394) -> 名字(16746)
64.0 | #149394(149394) -> 名字(16745)
64.0 | #149394(149394) -> 名字(16744)
64.0 | #149393(149393) -> 名字(16747)
64.0 | #149393(149393) -> 名字(16746)
64.0 | #149393(149393) -> 名字(16745)
64.0 | #149393(149393) -> 名字(16744)
64.0 | #149392(149392) -> 名字(16747)
64.0 | #149392(149392) -> 名字(16746)
64.0 | #149392(149392) -> 名字(16745)
64.0 | #149392(149392) -> 名字(16744)
64.0 | #149391(149391) -> #149395(149395)
64.0 | #149391(149391) -> #149394(149394)
64.0 | #149391(149391) -> #149393(149393)
64.0 | #149391(149391) -> #149392(149392)
64.0 | #149391(149391) -> 的(3)
64.0 | #149391(149391) -> 的(2)
64.0 | #149391(149391) -> 的(1)
64.0 | #149391(149391) -> 的(0)
64.0 | #149390(149390) -> #149395(149395)
64.0 | #149390(149390) -> #149394(149394)
64.0 | #149390(149390) -> #149393(149393)
64.0 | #149390(149390) -> #149392(149392)
64.0 | #149390(149390) -> 的(3)
64.0 | #149390(149390) -> 的(2)
64.0 | #149390(149390) -> 的(1)
64.0 | #149390(149390) -> 的(0)
64.0 | #149389(149389) -> #149395(149395)
64.0 | #149389(149389) -> #149394(149394)
64.0 | #149389(149389) -> #149393(149393)
64.0 | #149389(149389) -> #149392(149392)
64.0 | #149389(149389) -> 的(3)
64.0 | #149389(149389) -> 的(2)
64.0 | #149389(149389) -> 的(1)
64.0 | #149389(149389) -> 的(0)
64.0 | #149388(149388) -> #149395(149395)
64.0 | #149388(149388) -> #149394(149394)
64.0 | #149388(149388) -> #149393(149393)
64.0 | #149388(149388) -> #149392(149392)
64.0 | #149388(149388) -> 的(3)
64.0 | #149388(149388) -> 的(2)
64.0 | #149388(149388) -> 的(1)
64.0 | #149388(149388) -> 的(0)
64.0 | #149387(149387) -> #149391(149391)
64.0 | #149387(149387) -> #149390(149390)
64.0 | #149387(149387) -> #149389(149389)
64.0 | #149387(149387) -> #149388(149388)
64.0 | #149387(149387) -> 我(119)
64.0 | #149387(149387) -> 我(118)
64.0 | #149387(149387) -> 我(117)
64.0 | #149387(149387) -> 我(116)
64.0 | #149386(149386) -> #149391(149391)
64.0 | #149386(149386) -> #149390(149390)
64.0 | #149386(149386) -> #149389(149389)
64.0 | #149386(149386) -> #149388(149388)
64.0 | #149386(149386) -> 我(119)
64.0 | #149386(149386) -> 我(118)
64.0 | #149386(149386) -> 我(117)
64.0 | #149386(149386) -> 我(116)
64.0 | #149385(149385) -> #149391(149391)
64.0 | #149385(149385) -> #149390(149390)
64.0 | #149385(149385) -> #149389(149389)
